Table S1. WOS abstracts associated with baijiu,,,,,,,,,,,,,,,,,
RowID,Authors,Article Title,Source Title,Source Title - Korean,Volume,Issue,Start Page,End Page,Article Number,DOI,Publication Year,Abstract,ISSN,eISSN,UT (Unique ID),Pubmed Id,
1,"Jia-wei, Li; Chang-jun, Hou; Dan-qun, Huo; Mei, Yang; Su-yi, Zhang; Yi, Ma; Yang, Lin",A minimalist Chinese liquor identification system based on a colorimetric sensor array with multiple applications,ANALYTICAL METHODS,,9,1,141,148,,10.1039/c6ay02882a,2017,"The components of Chinese liquor are influenced by geographical origins and raw materials. Currently, Chinese liquor identification systems are limited and have a single application that can distinguish only one nature of flavor type and production area. Four chemical reagents were successfully used to build this 3 x 1 simple colorimetric sensor array. This is the first time that a highly accurate colorimetric Chinese liquor sensor array was fabricated using only a few array points. It could distinguish four types of Chinese base liquors from Luzhou Laojiao, nine types of Chinese liquors with different flavor types, and seven types of Chinese liquors from different geographical origins. In order to ensure the accuracy, seven parallel samples were analyzed with water used as a control. PCA proved this sensor array to be effective. In LDA and HCA, every group was clearly classified. The leave-one-out cross-validation method was applied with 100% prediction ability in the three experiments. According to the results of the PCA, HCA, LDA, and the leave-one-out method, we can deduce that this colorimetric sensor array with multiple applications has great performance in discriminating Chinese liquors.",1759-9660,1759-9679,WOS:000393101900017,,
2,"Wang, Li; Hu, Guangyuan; Lei, Liangbo; Lin, Lin; Wang, Diqiang; Wu, Jianxia",Identification and Aroma Impact of Volatile Terpenes in Moutai Liquor,INTERNATIONAL JOURNAL OF FOOD PROPERTIES,,19,6,1335,1352,,10.1080/10942912.2015.1064442,2016,"Terpenes are very important impact aroma compounds in wines, and we discovered some trace volatile terpenes in Chinese liquors in this study. The volatile compounds in Kweichow Moutai liquor (Maotai) were enriched and isolated by liquid-liquid extraction and further separated by silica gel normal phase chromatography, then investigated by gas chromatography-olfactometry and gas chromatography-mass spectrometry. A total of 55 terpenes were finally identified in Moutai liquor by mass spectrum data from NIST11 a.L and wiley7n.L mass-spectral library, retention indices, and authentic standards. A majority of terpenes were reported in Chinese liquors for the first time. A headspace-solid phase microextraction coupled with gas chromatography-mass spectrometry was developed to determine terpenes in Moutai liquor and other aroma-type Chinese liquors. According to the gas chromatography-olfactometry and odor activity values analysis, terpenes were the important aroma compounds in Moutai liquor which led the liquor more elegant and delicate.",1094-2912,1532-2386,WOS:000371481500010,,
3,Wang Li; Lei Liangbo; Wu Jianxia; Xu Yan,Study on the Qualitative Analysis of Nitrogenous Compounds in Chinese Liquor,Journal of Food Science and Biotechnology,,33,8,891,895,1673-1689(2014)33:8<891:BJZHDL>2.0.TX;2-Z,,2014,"Pyrazines are one of the most important flavors in Chinese liquor. The method was developed for determination of nitrogenous compounds in Chinese liquor,especially pyrazines composition in Moutai liquor. The method was optimized by adjusting the extraction process and introducing the purification steps for removing the esters and polyhydric alcohol,which improved the the instruments detection rate of the target components effectively. A total of 56 kinds of nitrogenous compounds were detected in Moutai liquor,including 35 kinds of pyrazines and 21 kinds of other nitrogenous compounds.",1673-1689,,CSCD:5267634,,
4,Zhao Tengfei; Chen Shuang; Li Huazhong; Xu Yan,Isolation and identification of bitter-tasting trihydroxyoctadecenoic acids in Baijiu( Chinese liquor),Food and Fermentation Industries,,44,9,225,231,0253-990X(2018)44:9<225:BJNHFZ>2.0.TX;2-Y,,2018,"The non-volatile component of Baijiu ( Chinese liquor) has an important effect on overall flavor of the liquor. This study applied taste dilution analysis ( TDA) to analyze the taste compounds in non-volatile component of Chinese Moutai-flavor type liquor. The experiment used human taste as a guide,combining with solid phase extraction and high performance liquid chromatography separation,to screen three taste-active fractions in non-volatile component of the liquor sample. These fractions were further analyzed by means of high resolution mass spectrometry and nuclear magnetic resonance. For the first time,bitter-tasting compounds 9, 10, 13-trihydroxyoctadec-11( E) -enoic acid ( 1) and 9,1 2,13-trihydroxyoctadec-10( E) -enoic acid ( 2) were identified in Chinese liquor. Based on ultra-high performance liquid chromatography-tandem mass spectrometry,a precise quantitative method for detection of the two trihydroxyoctadec acids in Chinese liquor was developed. The quantitative result revealed that compounds 1 and 2 were distributed in Chinese Moutai,strong and light-flavor type liquor samples ( n = 6),with range of 1.8 - 265.3 and 2.2 - 111.3 mug /L,respectively. Moreover,their concentrations in Moutai - flavor type liquor samples were significantly higher than those of other flavor types ( p < 0.01).",0253-990X,,CSCD:6348167,,
5,Huang Yunli; Huang Yongguang; Guo Xu,Bioactive functional components in Chinese liquor,Science & Technology of Food Industry,,37,15,375,379,1002-0306(2016)37:15<375:BJZDZY>2.0.TX;2-Q,,2016,"Relationship between drinking Chinese liquor and human health is becoming hot topic. With detailed analysis on source of some functional ingredients and pharmacological actions of Chinese liquor, and by comparing the differences of Chinese liquor and foreign wine, the value of Chinese liquor on human health was expouned in this paper. It advocated moderate drinking, eliminated doubts of consumers in drinking liquor and improved the value of Chinese liquor in the social etiquette.",1002-0306,,CSCD:5756911,,
6,"Zhang, Rong; Wu, Qun; Xu, Yan; Qian, Michael C.","Isolation, Identification, and Quantification of Lichenysin, a Novel Nonvolatile Compound in Chinese Distilled Spirits",JOURNAL OF FOOD SCIENCE,,79,10,C1907,C1915,,10.1111/1750-3841.12650,2014,"Nonvolatile components influence overall flavor volatility and perception in alcoholic beverages. However, little information has been reported about the nonvolatile compounds in Chinese distilled spirits. For the first time, we isolated and identified a cyclic lipopeptide lichenysin as a novel nonvolatile compound in Chinese liquors, using preparative high performance liquid chromatography coupled with quadrupole-time-of-flight mass spectrometer and nuclear magnetic resonance. The concentrations of lichenysin were quantified in 14 main types of bottled Chinese liquors by using ultra performance liquid chromatography coupled with triple quadrupole mass spectrometer. The concentrations of lichenysin in Chinese liquor ranged from 0.01 to 111.74 mu g/L, where the concentration was the highest in Dongjiu liquor. Furthermore, we found that lichenysin selectively affected aroma volatility in the Chinese liquor, using the headspace solid-phase microextraction coupled with gas chromatography-mass spectrometry. The headspace concentrations of 2-phenylethanol, phenol, and 4-methylphenol significantly decreased by respectively 58%, 76%, and 59% in 3 Chinese commercial liquors with an increase in lichenysin. These results indicated that lichenysin could be a novel nonvolatile compound that selectively affected aroma volatility in Chinese liquors.",0022-1147,1750-3841,WOS:000343822100004,25250990,
7,"Zhang, QY; Xie, CS; Zhang, SP; Wang, AH; Zhu, BL; Wang, L; Yang, ZB",Identification and pattern recognition analysis of Chinese liquors by doped nano ZnO gas sensor array,SENSORS AND ACTUATORS B-CHEMICAL,,110,2,370,376,,10.1016/j.snb.2005.02.017,2005,"In this paper, ZnO nanoparticles were prepared by the renovated hybrid induction and laser heating. The sensitivities of gas sensors can be greatly improved by doping MnO2, TiO2 and Co2O3. Five different Chinese liquors, namely, Baiyunbian, Beijing Erguotou, Red Star Erguotou, Zhijiangdaqu and Jianliliangjiu, alcohol and diluted alcohol (forged liquor) were measured. Though the main ingredient is alcohol in liquors, Chinese liquors mainly differ from their flavour types, which rely on their trace components. Flavour type of liquors is a very important factor in Chinese liquor identification. Principal component analysis incorporating with discriminant analysis (PCA-DA), back-propagation artificial neural network (BP-ANN) and learning vector quantization (LVQ) were compared for their classification ability. The accuracy of PCA-DA, BP-ANN and LVQ in terms of predicting tested samples was 76.8, 71.4 and 89.3%, respectively. The LVQ is the most suitable pattern recognition algorithm in present experiment. This work shows the potential application of the gas sensor arrays for monitoring the quality of Chinese liquors. (C) 2005 Elsevier B.V. All rights reserved.",0925-4005,,WOS:000232702200028,,
8,Hu Guodong,Application of Gas Chromatography in Chinese Liquor Analysis: Current Status and Historical Overview,Food and Fermentation Industries,,29,10,65,69,0253-990X(2003)29:10<65:QXSPFZ>2.0.TX;2-Z,,2003,Gas Chromatography (GC) has widely been used i Chinese liquor analysis over 35 years. The aim of this article is to give a brief overview of the current status and the past development of application in Chinese liquor analysis.,0253-990X,,CSCD:1464512,,
9,Liu Yuping; Huang Mingquan; Zheng Fuping; Chen Haitao; Sun Baoguo,Recent Advances in Extraction and Analysis of Volatile Flavor Compounds in Chinese Liquor,Food Science,,31,21,437,441,1002-6630(2010)31:21<437:ZGBJZH>2.0.TX;2-S,,2010,"Volatile flavor compounds play an important role for the type and style of Chinese liquor.This paper summarizes the applications of gas chromatography-mass spectrometry (GC-MS) without sample pretreatment and with solvent extraction or solid-phase microextraction to analyze the volatile components in Chinese liquor reported in the recent decade.Moreover,the sources,roles and affecting factors of volatile components in Chinese liquor are summed up briefly.In conclusion,solid-phase microextraction coupled with GC-MS is comparatively more simple and effective method for the analysis of volatile composition of Chinese liquor",1002-6630,,CSCD:4105277,,
10,Zhu Yan; Fan Wenlai; Xu Yan,Determination of Free Volatile Phenolic Compounds in Chinese Liquors (baijiu) Using Direct Immersion-solid Phase Microextraction Coupled with Gas Chromatography-mass Spectrometry,Food and Fermentation Industries,,36,10,138,143,0253-990X(2010)36:10<138:YYDSHG>2.0.TX;2-K,,2010,"A rapid method for determining free volatile phenolic compounds in Chinese liquors (baijiu) was developed by direct immersion-solid phase microextraction (DI-SPME) coupled with gas chromatography-mass spectrometry (GC-MS). The method displayed good linearity (R2 >0.99) over the concentration ranges explored in Chinese liquors. The analytical conditions enabled detection limits of free volatile phenolic compounds less than 7 p g/L. Precision (RSD <11%) and recovery rate were satisfactory in all cases. The content and kind of free volatile phenolic compounds in different aroma type liquors were significantly different, and the strong aroma type liquors had higher total content of phenolic compounds. There was a certain linear relationship between total content of phenolic compounds in strong aroma type liquors and production year of fresh distillates. The earlier production year of fresh distillates had lower total content of phenolic compounds in strong aroma type liquors. The results showed that the method provided a simple and quick technique to further investigate the free volatile phenolic compounds in Chinese liquors",0253-990X,,CSCD:4042200,,
