Table S2. PMC full text associated with baijiu,
PMID,Title
26492228,The Occurrence of Propyl Lactate in Chinese Baijius (Chinese Liquors) Detected by Direct Injection Coupled with Gas Chromatography-Mass Spectrometry
34220729,Liquor Flavour Is Associated With the Physicochemical Property and Microbial Diversity of Fermented Grains in Waxy and Non-waxy Sorghum ( Sorghum bicolor ) During Fermentation
33806949,"Automatic and Intelligent Technologies of Solid-State Fermentation Process of Baijiu Production: Applications, Challenges, and Prospects"
34641574,Tandem Solid-Phase Extraction Columns for Simultaneous Aroma Extraction and Fractionation of Wuliangye and Other Baijiu
34025626,Microbial Community Succession and Its Environment Driving Factors During Initial Fermentation of Maotai-Flavor Baijiu
31993136,Study on metabolites of  Bacillus  producing soy sauce©\like aroma in Jiang©\flavor Chinese spirits
28146111,Classification of Multiple Chinese Liquors by Means of a QCM-based E-Nose and MDS-SVM Classifier
25857434,Chemical Analysis of the Chinese Liquor Luzhoulaojiao by Comprehensive Two-Dimensional Gas Chromatography/Time-of-Flight Mass Spectrometry
34262710,Dynamic changes of volatile compounds and bacterial diversity during fourth to seventh rounds of Chinese soy sauce aroma liquor
27484292,Effect of high pressure treatment on the aging characteristics of Chinese liquor as evaluated by electronic nose and chemical analysis
29109406,"New microbial resource: microbial diversity, function and dynamics in Chinese liquor starter"
29467508,Effect of the environment microbiota on the flavour of light-flavour  Baijiu  during spontaneous fermentation
32069959,"Evaluation of Perceptual Interactions between Ester Aroma Components in Langjiu by GC-MS, GC-O, Sensory Analysis, and Vector Model"
33051575,Mechanisms of the regulation of ester balance between oxidation and esterification in aged Baijiu
31333631,Deciphering the Composition and Functional Profile of the Microbial Communities in Chinese Moutai Liquor Starters
28059090,Characterization of Chinese liquor aroma components during aging process and liquor age discrimination using gas chromatography combined with multivariable statistics
32842618,Composition and Metabolic Functions of the Microbiome in Fermented Grain during Light-Flavor  Baijiu  Fermentation
32714285,Culturing Bacteria From Fermentation Pit Muds of Baijiu With Culturomics and Amplicon-Based Metagenomic Approaches
33995338,Characteristics of the Microbial Community in the Production of Chinese Rice-Flavor Baijiu and Comparisons With the Microflora of Other Flavors of Baijiu
34202182,Silage Fermentation on Sweet Sorghum Whole Plant for Fen-Flavor Baijiu
31130618,Polyphasic Characterization of Yeasts and Lactic Acid Bacteria Metabolic Contribution in Semi-Solid Fermentation of Chinese Baijiu (Traditional Fermented Alcoholic Drink): Towards the Design of a Tailored Starter Culture
28337455,Analysis of the Bacterial Communities in Two Liquors of Soy Sauce Aroma as Revealed by High-Throughput Sequencing of the 16S rRNA V4 Hypervariable Region
33671408,Quantitative Analysis of Pyrazines and Their Perceptual Interactions in Soy Sauce Aroma Type Baijiu
31766775,Schizosaccharomyces pombe  Can Reduce Acetic Acid Produced by  Baijiu  Spontaneous Fermentation Microbiota
32180960,A flavor uniformity evaluation and improvement of Chinese spirit by electronic nose
32328256,Effects of metals released in strong©\flavor baijiu on the evolution of aroma compounds during storage
