Table S8. Compound information of expanded monoglycerides,,,,,,
Carbon number,Double bond number,Name,Molecular Formula,Molecular Weight,Adduct,m/z
2,0,MG(2:0),C5H10O4,134.0579088,M+H,135.0651848
3,0,MG(3:0),C6H12O4,148.0735589,M+H,149.0808349
4,0,MG(4:0),C7H14O4,162.0892089,M+H,163.0964849
5,0,MG(5:0),C8H16O4,176.104859,M+H,177.112135
6,0,MG(6:0),C9H18O4,190.1205091,M+H,191.1277851
7,0,MG(7:0),C10H20O4,204.1361591,M+H,205.1434351
8,0,MG(8:0),C11H22O4,218.1518092,M+H,219.1590852
9,0,MG(9:0),C12H24O4,232.1674592,M+H,233.1747352
10,0,MG(10:0),C13H26O4,246.1831093,M+H,247.1903853
11,0,MG(11:0),C14H28O4,260.1987594,M+H,261.2060354
12,0,MG(12:0),C15H30O4,274.2144094,M+H,275.2216854
13,0,MG(13:0),C16H32O4,288.2300595,M+H,289.2373355
14,0,MG(14:0),C17H34O4,302.2457096,M+H,303.2529856
15,0,MG(15:0),C18H36O4,316.2613596,M+H,317.2686356
16,0,MG(16:0),C19H38O4,330.2770097,M+H,331.2842857
17,0,MG(17:0),C20H40O4,344.2926598,M+H,345.2999358
18,0,MG(18:0),C21H42O4,358.3083098,M+H,359.3155858
19,0,MG(19:0),C22H44O4,372.3239599,M+H,373.3312359
20,0,MG(20:0),C23H46O4,386.33961,M+H,387.346886
21,0,MG(21:0),C24H48O4,400.35526,M+H,401.362536
22,0,MG(22:0),C25H50O4,414.3709101,M+H,415.3781861
23,0,MG(23:0),C26H52O4,428.3865601,M+H,429.3938361
24,0,MG(24:0),C27H54O4,442.4022102,M+H,443.4094862
25,0,MG(25:0),C28H56O4,456.4178603,M+H,457.4251363
26,0,MG(26:0),C29H58O4,470.4335103,M+H,471.4407863
27,0,MG(27:0),C30H60O4,484.4491604,M+H,485.4564364
28,0,MG(28:0),C31H62O4,498.4648105,M+H,499.4720865
29,0,MG(29:0),C32H64O4,512.4804605,M+H,513.4877365
30,0,MG(30:0),C33H66O4,526.4961106,M+H,527.5033866
31,0,MG(31:0),C34H68O4,540.5117607,M+H,541.5190367
32,0,MG(32:0),C35H70O4,554.5274107,M+H,555.5346867
3,1,MG(3:1),C6H10O4,146.0579088,M+H,147.0651848
4,1,MG(4:1),C7H12O4,160.0735589,M+H,161.0808349
5,1,MG(5:1),C8H14O4,174.0892089,M+H,175.0964849
6,1,MG(6:1),C9H16O4,188.104859,M+H,189.112135
7,1,MG(7:1),C10H18O4,202.1205091,M+H,203.1277851
8,1,MG(8:1),C11H20O4,216.1361591,M+H,217.1434351
9,1,MG(9:1),C12H22O4,230.1518092,M+H,231.1590852
10,1,MG(10:1),C13H24O4,244.1674592,M+H,245.1747352
11,1,MG(11:1),C14H26O4,258.1831093,M+H,259.1903853
12,1,MG(12:1),C15H28O4,272.1987594,M+H,273.2060354
13,1,MG(13:1),C16H30O4,286.2144094,M+H,287.2216854
14,1,MG(14:1),C17H32O4,300.2300595,M+H,301.2373355
15,1,MG(15:1),C18H34O4,314.2457096,M+H,315.2529856
16,1,MG(16:1),C19H36O4,328.2613596,M+H,329.2686356
17,1,MG(17:1),C20H38O4,342.2770097,M+H,343.2842857
18,1,MG(18:1),C21H40O4,356.2926598,M+H,357.2999358
19,1,MG(19:1),C22H42O4,370.3083098,M+H,371.3155858
20,1,MG(20:1),C23H44O4,384.3239599,M+H,385.3312359
21,1,MG(21:1),C24H46O4,398.33961,M+H,399.346886
